dept,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd
人類學系,20.32509419414492,19.870897852350488,18.71698816052611,19.24509857946119
公共衛生學系,23.397104744808388,22.615557550509997,15.088634138906107,17.854799481494513
動物科學學系,24.53177706494671,19.918241531184755,22.84594502596776,22.051431670272837
化學工程學系,17.71706116355265,19.26005497788667,19.787706151865763,18.270604185986578
化學系,22.13659845021421,21.836805754748525,19.364197052886087,16.076043133897578
史學系,15.433695364016014,17.92596936077244,16.9406026485721,17.47338470076691
哲學系,19.266113043846698,20.479858721677225,19.728092981968476,20.880304453336006
國文學系,16.146743241749633,16.512177852848833,14.674056015733237,17.022359583704734
國際企業學系,17.50185684800316,20.214599575155535,16.48546039055681,14.277639354793664
園藝暨景觀學系,23.608127681474325,20.092343625094244,22.093449992881894,22.927214732802426
圖書資訊學系,19.537943557151532,21.498787089471993,18.82344886444765,20.182877978869193
土木工程學系,19.076207627554748,18.290812156500444,18.378266528514008,17.206467879211285
地理環境資源學系,20.7374397364849,24.483193950025182,21.448775596911737,22.224219097697983
地質學系,20.352828375479156,24.525360827730616,20.93820877512657,20.162132348950404
外國語文學系,17.09768543975845,19.008849415286136,16.00744454272723,17.649332571908317
大氣科學系,19.16174485100086,19.682043035634845,19.59500374612082,22.164867993946974
工商管理學系,19.445235270992274,19.924296702601705,16.736973549623496,16.79936775404253
工程科學學系,20.389922942168695,20.59750562611016,23.875424957314802,19.52567425917866
心理學系,17.992322313202145,20.873442125814822,16.822803135839216,15.959254239687375
戲劇學系,20.266976132826784,23.634777392382055,20.431909713470088,23.874021575765276
政治學系,18.716894895274407,18.701681536494025,15.764916439234609,16.869637280756987
數學系,25.0994148463724,25.020110527870933,24.89518196342251,21.18984421134824
日本語文學系,19.77148495256447,21.14709246335972,18.81752223838227,18.458040910391624
昆蟲學系,21.865728298455483,23.21732415854935,25.078535712801255,25.471304336397566
會計與資訊科技學系,51.50929630295523,26.56217656219742,43.65559686819568,22.771959657040565
材料科學學系,25.9381636345391,25.04313391105737,24.665061594956406,20.500829139816595
森林環境暨資源學系,17.350235846648935,19.86673486933781,16.992742370502963,17.926081035645716
植物病理學系,25.51041881019187,21.628234126106744,23.58656681440243,21.761413100754353
機械工程學系,18.425076764963745,18.68790215693724,20.416195930663388,14.994341471966203
法律學系,19.034457948014136,10.183328234684263,10.42190215484147,12.87586184629438
牙醫學系,NA,NA,NA,NA
物理學系,22.25802762830572,22.237048400852824,25.446854416047096,15.266078391139446
物理治療系,20.867118561185922,24.620832124706144,19.505621716501185,26.284856842905846
獸醫學系,14.896123751686762,41.32726249383459,32.25254854659084,22.808337534057987
生化科技學系,16.25011163310811,31.264549759991237,18.288999961354463,25.66381884765247
生命科學系,19.086189484372902,21.453793542600113,20.426303635288324,19.65937212068508
生物機電工程學系,18.97330505027123,21.408312789175326,17.837612415952254,16.39178051222565
生物環境工程學系,20.31507261478739,22.717972565944685,22.758267396885717,22.21733155772329
生物產業傳播暨發展學系,19.353760478884794,24.605384273587052,18.723249282754708,20.800041283583916
社會學系,20.05013729718653,21.510695541511335,18.395044424462366,18.367504397982238
社會工作學系,20.494182999579134,19.378953020637635,16.227381778731274,19.12843136856923
經濟學系,17.791277923879843,19.569774135651233,15.22338066074161,15.02600057063707
職能治療學系,24.41966644452468,34.1490643189413,25.61157522765205,26.66881743325896
藥學系,20.44564733536528,22.96764742654437,24.570276886424296,24.324967074458353
護理學系,45.12979866336859,18.0432192197519,49.17294842926555,21.54143882963763
財務金融學系,16.18410642829728,16.92147090139646,15.52901458493584,13.751069513739978
資訊工程學系,13.04985140713806,18.21308891334907,18.498209822921805,13.004453295332446
資訊管理學系,24.416071304476883,17.27475949640411,19.10473714414573,16.84237417867601
農業化學系,18.242116775262343,20.110013574382812,18.42994112024785,17.509083479508206
農業經濟學系,19.62555614892768,22.655182918097083,19.555285902571974,18.808300731740758
農藝學系,18.252643657383395,23.04466246928976,21.667539636338265,21.144439306342363
醫學檢驗生物技術學系,26.87732956513103,20.872916271807256,22.930205691687938,14.569740574498068
醫學系,16.710950645847362,8.881732927828239,24.84994969813821,23.44930702600823
電機工程學系,19.97375605885309,19.326339703075508,24.232435776786655,14.998666330320136
