Id,transfer_group,applic_group,college,transfer_pageranks,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd
"材料科學與工程學系",2,3,工學院,0.006747,25.905596,25.090285,24.619424,20.433478
"電機工程學系",10,10,電資學院,0.072321,19.805734,19.462495,24.131136,14.905112
"牙醫學系",2,2,醫學院,0.006171,0,0,0,0
"哲學系",1,2,文學院,0.023731,19.290372,20.582155,19.684108,20.925604
"資訊管理學系",2,8,管理學院,0.008469,24.39983,17.25287,19.064134,16.871273
"財務金融學系",6,9,管理學院,0.023506,16.221032,17.048822,15.499017,13.768379
"化學工程學系",4,6,工學院,0.02015,17.6575,19.279981,19.704176,18.271105
"資訊工程學系",4,6,電資學院,0.027097,13.100855,18.180595,18.451411,13.005558
"大氣科學系",2,4,理學院,0.00946,19.273763,19.659219,19.539685,22.167038
"工程科學及海洋工程學系",4,4,工學院,0.015446,20.451244,20.4714,23.800773,19.549563
"園藝暨景觀學系",3,7,生農學院,0.01312,23.746713,20.102365,22.298491,23.002165
"職能治療學系",2,2,醫學院,0.01953,24.433178,34.190882,25.603032,26.607731
"地理環境資源學系",4,2,理學院,0.007422,20.760037,24.65151,21.370322,22.090473
"工商管理學系企業管理組",2,5,管理學院,0.009735,19.47985,19.865371,16.861809,16.942803
"機械工程學系",9,6,工學院,0.017457,18.440482,18.666867,20.357518,15.032217
"農業化學系",2,2,生農學院,0.005816,18.291845,20.146464,18.47746,17.532451
"心理學系",1,2,理學院,0.031246,17.941233,20.705374,16.698195,15.92984
"醫學檢驗暨生物技術學系",2,2,醫學院,0.00932,26.84174,20.835678,22.978714,14.586649
"政治學系政治理論組",7,1,社科學院,0.014251,18.713994,18.746462,15.612967,16.985166
"地質科學系",4,4,理學院,0.006897,20.235176,24.520784,21.006814,20.135763
"生物環境系統工程學系",4,4,生農學院,0.006555,20.25622,22.770535,22.836995,22.065103
"生物產業機電工程學系",4,2,生農學院,0.013563,18.968445,21.43305,17.91002,16.304252
"土木工程學系",4,4,工學院,0.015913,19.059727,18.372444,18.427796,17.140572
"物理學系",10,3,理學院,0.022039,22.295557,22.171114,25.360784,15.342597
"動物科學技術學系",3,2,生農學院,0.005185,24.571668,19.960488,22.968849,22.094359
"獸醫學系",3,2,生農學院,0.042811,14.859414,41.327492,32.234752,22.717301
"藥學系",2,2,醫學院,0.021137,20.449633,22.938319,24.564727,24.318821
"法律學系財經法學組",1,11,法律學院,0.029998,19.048279,10.240727,10.409469,12.908554
"社會工作學系",2,1,社科學院,0.017487,20.426396,19.362729,16.184578,19.090417
"生物產業傳播暨發展學系",5,2,生農學院,0.029936,19.351894,24.530172,18.829992,20.519518
"法律學系法學組",2,11,法律學院,0.027385,19.048279,10.240727,10.409469,12.908554
"工商管理學系科技管理組",2,8,管理學院,0.00904,19.47985,19.865371,16.861809,16.942803
"公共衛生學系",2,2,公衛學院,0.005207,23.304127,22.617304,15.105847,17.711976
"物理治療學系",2,2,醫學院,0.007097,20.866253,24.706983,19.475115,26.204522
"國際企業學系",2,5,管理學院,0.004737,17.426241,20.290533,16.346735,14.390851
"歷史學系",8,1,文學院,0.018921,15.424893,17.807138,16.894231,17.568168
"護理學系",2,2,醫學院,0.005207,45.122534,18.002254,49.174067,21.524859
"生化科技學系",2,2,生命科學院,0.014072,16.231326,31.330292,18.192459,25.656955
"化學系",2,4,理學院,0.01464,22.206317,21.666822,19.473544,16.167138
"社會學系",1,1,社科學院,0.021717,20.110526,21.641627,18.434683,18.503596
"會計學系",5,9,管理學院,0.035381,51.50677,26.579231,43.670767,22.755226
"外國語文學系",1,1,文學院,0.04137,17.181577,19.047069,15.96096,17.604179
"經濟學系",11,5,社科學院,0.044758,17.68835,19.574009,15.387759,15.049131
"數學系",2,2,理學院,0.0094,25.090611,25.040893,24.866464,21.230937
"昆蟲學系",2,2,生農學院,0.004737,22.116899,23.280374,25.064723,25.426135
"法律學系司法組",6,11,法律學院,0.022839,19.048279,10.240727,10.409469,12.908554
"中國文學系",1,1,文學院,0.019705,16.254137,16.490831,14.501162,17.081837
"農業經濟學系",5,2,生農學院,0.007918,19.42543,22.717757,19.685126,18.673313
"農藝學系",3,7,生農學院,0.024603,18.252315,22.968914,21.709802,21.282765
"人類學系",1,2,文學院,0.006637,20.405451,19.867586,18.686434,19.174397
"日本語文學系",8,2,文學院,0.011053,19.536839,21.105615,18.695292,18.446078
"森林環境暨資源學系",4,7,生農學院,0.010018,17.355495,19.71399,16.913347,18.062607
"政治學系公共行政組",1,1,社科學院,0.025316,18.713994,18.746462,15.612967,16.985166
"政治學系國際關係組",6,1,社科學院,0.019088,18.713994,18.746462,15.612967,16.985166
"戲劇學系",2,2,文學院,0.008423,20.229069,23.680584,20.419783,23.755842
"生命科學系",2,2,生命科學院,0.006966,19.171869,21.419254,20.438711,19.661642
"圖書資訊學系",5,1,文學院,0.00653,19.51069,21.598417,18.784011,20.21074
"醫學系",2,2,醫學院,0.009982,16.710137,8.86656,24.84995,23.449307
"植物病理與微生物學系",2,2,生農學院,0.004737,25.521423,21.675397,23.585945,21.844902
