"Id","groups_transfer","groups_104","college"
"中國文學系",1,1,"文學院"
"人類學系",1,2,"文學院"
"公共衛生學系",2,2,"公衛學院"
"動物科學技術學系",3,2,"生農學院"
"化學系",2,4,"理學院"
"化學工程學系",4,6,"工學院"
"哲學系",1,2,"文學院"
"國際企業學系",2,5,"管理學院"
"園藝暨景觀學系",3,7,"生農學院"
"圖書資訊學系",5,1,"文學院"
"土木工程學系",4,4,"工學院"
"地理環境資源學系",4,2,"理學院"
"地質科學系",4,4,"理學院"
"外國語文學系",1,1,"文學院"
"大氣科學系",2,4,"理學院"
"工程科學及海洋工程學系",4,4,"工學院"
"工商管理學系企業管理組",2,5,"管理學院"
"工商管理學系科技管理組",2,8,"管理學院"
"心理學系",1,2,"理學院"
"戲劇學系",2,2,"文學院"
"政治學系公共行政組",1,1,"社科學院"
"政治學系國際關係組",6,1,"社科學院"
"政治學系政治理論組",7,1,"社科學院"
"數學系",2,2,"理學院"
"日本語文學系",8,2,"文學院"
"昆蟲學系",2,2,"生農學院"
"會計學系",5,9,"管理學院"
"材料科學與工程學系",2,3,"工學院"
"森林環境暨資源學系",4,7,"生農學院"
"植物病理與微生物學系",2,2,"生農學院"
"機械工程學系",9,6,"工學院"
"歷史學系",8,1,"文學院"
"法律學系司法組",6,11,"法律學院"
"法律學系法學組",2,11,"法律學院"
"法律學系財經法學組",1,11,"法律學院"
"牙醫學系",2,2,"醫學院"
"物理治療學系",2,2,"醫學院"
"物理學系",10,3,"理學院"
"獸醫學系",3,2,"生農學院"
"生物產業傳播暨發展學系",5,2,"生農學院"
"生物環境系統工程學系",4,4,"生農學院"
"生化科技學系",2,2,"生命科學院"
"生物產業機電工程學系",4,2,"生農學院"
"生命科學系",2,2,"生命科學院"
"社會工作學系",2,1,"社科學院"
"社會學系",1,1,"社科學院"
"經濟學系",11,5,"社科學院"
"職能治療學系",2,2,"醫學院"
"藥學系",2,2,"醫學院"
"護理學系",2,2,"醫學院"
"財務金融學系",6,9,"管理學院"
"資訊工程學系",4,6,"電資學院"
"資訊管理學系",2,8,"管理學院"
"農業化學系",2,2,"生農學院"
"農業經濟學系",5,2,"生農學院"
"農藝學系",3,7,"生農學院"
"醫學系",2,2,"醫學院"
"醫學檢驗暨生物技術學系",2,2,"醫學院"
"電機工程學系",10,10,"電資學院"
