Source,Target,Weight
中國文學系,歷史學系,16
中國文學系,外國語文學系,7
中國文學系,戲劇學系,3
中國文學系,政治學系政治理論組,3
中國文學系,圖書資訊學系,3
中國文學系,生物產業傳播暨發展學系,3
日本語文學系,中國文學系,3
化學工程學系,生化科技學系,10
化學系,生化科技學系,9
農業化學系,生化科技學系,9
生命科學系,生化科技學系,8
醫學檢驗暨生物技術學系,生化科技學系,6
生化科技學系,心理學系,5
資訊工程學系,生化科技學系,5
生化科技學系,農藝學系,3
生化科技學系,職能治療學系,3
生物產業傳播暨發展學系,生化科技學系,3
生物環境系統工程學系,生化科技學系,3
森林環境暨資源學系,生化科技學系,3
生命科學系,職能治療學系,9
生命科學系,森林環境暨資源學系,8
生命科學系,生化科技學系,8
生命科學系,園藝暨景觀學系,6
生命科學系,生物環境系統工程學系,5
生命科學系,獸醫學系,5
生命科學系,公共衛生學系,4
生命科學系,動物科學技術學系,4
生命科學系,物理治療學系,3
生命科學系,農藝學系,3
生命科學系,心理學系,3
生命科學系,土木工程學系,3
生命科學系,植物病理與微生物學系,3
法律學系財經法學組,法律學系司法組,23
法律學系財經法學組,法律學系法學組,18
法律學系財經法學組,財務金融學系,16
法律學系財經法學組,會計學系,10
工商管理學系企業管理組,法律學系財經法學組,7
國際企業學系,法律學系財經法學組,7
經濟學系,法律學系財經法學組,6
法律學系財經法學組,外國語文學系,6
法律學系司法組,法律學系法學組,28
法律學系財經法學組,法律學系司法組,23
財務金融學系,法律學系司法組,8
外國語文學系,法律學系司法組,6
工商管理學系企業管理組,法律學系司法組,6
國際企業學系,法律學系司法組,6
法律學系司法組,會計學系,4
經濟學系,法律學系司法組,4
政治學系公共行政組,法律學系司法組,3
土木工程學系,法律學系司法組,3
公共衛生學系,法律學系司法組,3
法律學系司法組,法律學系法學組,28
法律學系財經法學組,法律學系法學組,18
工商管理學系企業管理組,法律學系法學組,6
政治學系國際關係組,法律學系法學組,6
外國語文學系,法律學系法學組,6
大氣科學系,法律學系法學組,3
國際企業學系,法律學系法學組,3
政治學系公共行政組,法律學系法學組,3
經濟學系,法律學系法學組,3
財務金融學系,法律學系法學組,3
資訊工程學系,機械工程學系,67
資訊工程學系,電機工程學系,55
資訊工程學系,化學工程學系,33
物理學系,資訊工程學系,24
資訊工程學系,材料科學與工程學系,24
資訊管理學系,資訊工程學系,19
資訊工程學系,數學系,14
資訊工程學系,土木工程學系,12
資訊工程學系,財務金融學系,11
資訊工程學系,會計學系,11
國際企業學系,資訊工程學系,10
資訊工程學系,生物產業機電工程學系,9
工商管理學系科技管理組,資訊工程學系,8
工程科學及海洋工程學系,資訊工程學系,8
資訊工程學系,經濟學系,7
資訊工程學系,心理學系,6
化學系,資訊工程學系,5
獸醫學系,資訊工程學系,5
資訊工程學系,生化科技學系,5
資訊工程學系,地質科學系,3
資訊工程學系,大氣科學系,3
藥學系,資訊工程學系,3
機械工程學系,電機工程學系,61
資訊工程學系,電機工程學系,55
材料科學與工程學系,電機工程學系,54
物理學系,電機工程學系,52
化學工程學系,電機工程學系,30
電機工程學系,財務金融學系,21
化學系,電機工程學系,8
數學系,電機工程學系,7
電機工程學系,會計學系,7
國際企業學系,電機工程學系,7
生物產業機電工程學系,電機工程學系,6
醫學系,電機工程學系,6
藥學系,電機工程學系,5
工商管理學系科技管理組,電機工程學系,4
電機工程學系,心理學系,3
公共衛生學系,經濟學系,9
公共衛生學系,園藝暨景觀學系,7
公共衛生學系,物理治療學系,6
公共衛生學系,職能治療學系,5
公共衛生學系,土木工程學系,5
公共衛生學系,農業經濟學系,4
公共衛生學系,生物產業傳播暨發展學系,4
公共衛生學系,外國語文學系,4
生命科學系,公共衛生學系,4
公共衛生學系,化學工程學系,3
公共衛生學系,法律學系司法組,3
公共衛生學系,農藝學系,3
公共衛生學系,護理學系,3
公共衛生學系,森林環境暨資源學系,3
資訊管理學系,機械工程學系,26
資訊管理學系,資訊工程學系,19
資訊管理學系,經濟學系,18
工商管理學系科技管理組,資訊管理學系,16
資訊管理學系,化學工程學系,15
資訊管理學系,土木工程學系,11
資訊管理學系,國際企業學系,11
資訊管理學系,會計學系,9
資訊管理學系,工商管理學系企業管理組,9
資訊管理學系,生物產業傳播暨發展學系,6
資訊管理學系,工程科學及海洋工程學系,6
資訊管理學系,財務金融學系,5
化學系,資訊管理學系,3
國際企業學系,財務金融學系,47
國際企業學系,工商管理學系企業管理組,44
國際企業學系,經濟學系,38
國際企業學系,會計學系,35
工商管理學系科技管理組,國際企業學系,15
國際企業學系,外國語文學系,12
