"",中文系,人類系,公衛系,動物科技系,化學系,化工系,哲學系,國企系,園藝系,圖資系,土木系,地理系,地質系,外文系,大氣系,工科海洋系,工管系企管組,工管系科管組,心理系,戲劇系,政治系公行組,政治系國關組,政治系政論組,數學系,日文系,昆蟲系,會計系,材料系,森林環資系,植微系,機械系,歷史系,法律系司法組,法律系法學組,法律系財法組,牙醫系,物治系,物理系,獸醫系,生傳系,生工系,生技系,生物機電系,生科系,社工系,社會系,經濟系,職治系,藥學系,護理系,財金系,資工系,資管系,農化系,農經系,農藝系,醫學系,醫技系,電機系
中文系,0,4,4.35889911651611,7.81024980545044,6,5.0990195274353,6.40312433242798,4.58257579803467,6.1644139289856,5.1961522102356,6.32455539703369,5.74456262588501,6,5.38516473770142,5.1961522102356,5.47722578048706,5,5.38516473770142,5.91607999801636,4.24264049530029,5.47722578048706,7.87400770187378,7.68114566802979,4.58257579803467,5.29150247573853,5.1961522102356,7.28010988235474,4.89897966384888,6.63324975967407,4.69041585922241,10.0995044708252,5.47722578048706,5.65685415267944,5,4.89897966384888,4.58257579803467,4.58257579803467,7.41619825363159,8.71779823303223,5.74456262588501,5.1961522102356,5.65685415267944,6.24499797821045,5.38516473770142,4.24264049530029,5,8,4.79583168029785,4.79583168029785,4.58257579803467,5.74456262588501,5.83095169067383,4.69041585922241,4.4721360206604,5.83095169067383,5.83095169067383,4.58257579803467,5,8.66025447845459
人類系,4,0,4.12310552597046,7.54983425140381,5.47722578048706,4.69041585922241,5.74456262588501,3.87298345565796,5.47722578048706,5.38516473770142,5.65685415267944,5.1961522102356,5.65685415267944,5.38516473770142,4.79583168029785,5.29150247573853,4.35889911651611,5,5.91607999801636,4.24264049530029,6.1644139289856,7.87400770187378,9.11043357849121,4.12310552597046,5.0990195274353,5,7.28010988235474,4.4721360206604,5.83095169067383,4.24264049530029,10,5.0990195274353,5.65685415267944,4.58257579803467,5.47722578048706,4.12310552597046,4.12310552597046,7.28010988235474,8.12403869628906,5.91607999801636,4.79583168029785,5.0990195274353,5.91607999801636,5,4.4721360206604,5,8.83176040649414,4.79583168029785,4.58257579803467,4.35889911651611,5.56776428222656,5.29150247573853,4.4721360206604,4.24264049530029,6,5.29150247573853,4.12310552597046,4.35889911651611,8.42614936828613
公衛系,4.35889911651611,4.12310552597046,0,6.48074054718018,4.58257579803467,3.31662487983704,5.0990195274353,2.44948983192444,4.79583168029785,5.29150247573853,5.1961522102356,4.24264049530029,4.79583168029785,4.89897966384888,3.46410155296326,4.12310552597046,3.16227769851685,3.74165749549866,4.89897966384888,3,6.24499797821045,7.28010988235474,8.71779823303223,2.44948983192444,5,3.74165749549866,6.48074054718018,3,5.38516473770142,2.64575123786926,9.53939247131348,5.56776428222656,4.58257579803467,3.46410155296326,4.58257579803467,2.44948983192444,2,6.63324975967407,7.81024980545044,5.65685415267944,3.46410155296326,4.35889911651611,4.89897966384888,3.16227769851685,3,4.4721360206604,8.06225776672363,3.46410155296326,2.82842707633972,2.44948983192444,4.4721360206604,4.12310552597046,3,3,5.56776428222656,4.79583168029785,2.44948983192444,2.82842707633972,7.74596691131592
動物科技系,7.81024980545044,7.54983425140381,6.48074054718018,0,7.41619825363159,6.70820379257202,8,6.63324975967407,5,8.12403869628906,7.81024980545044,7.34846925735474,7.41619825363159,7.87400770187378,6.92820310592651,7.41619825363159,6.92820310592651,7.21110248565674,7.74596691131592,6.8556547164917,8.77496433258057,9.53939247131348,10.7703294754028,6.63324975967407,8.06225776672363,7.07106781005859,8.9442720413208,6.8556547164917,7.93725395202637,6.55743837356567,11.2694272994995,8.3066234588623,7.68114566802979,6.1644139289856,7.81024980545044,6.63324975967407,6.63324975967407,8.9442720413208,5.1961522102356,8.48528099060059,6.92820310592651,7.41619825363159,7.61577320098877,6.78233003616333,6.8556547164917,7.61577320098877,10.1488914489746,6.92820310592651,6.63324975967407,6.78233003616333,7.48331499099731,7.41619825363159,6.8556547164917,6.70820379257202,8.3066234588623,4.79583168029785,6.63324975967407,6.63324975967407,9.89949512481689
化學系,6,5.47722578048706,4.58257579803467,7.41619825363159,0,4.24264049530029,6.55743837356567,4.35889911651611,5.47722578048706,6.40312433242798,5.0990195274353,5.74456262588501,6,6.08276271820068,4.58257579803467,5.0990195274353,4.79583168029785,5.1961522102356,5.91607999801636,4.69041585922241,7.21110248565674,7.87400770187378,9.53939247131348,4.35889911651611,6,5.1961522102356,7.41619825363159,4.69041585922241,6,4.69041585922241,9.27361869812012,6.48074054718018,5.83095169067383,4.79583168029785,5.83095169067383,4.35889911651611,4.35889911651611,6.55743837356567,8.24621105194092,6.70820379257202,5,4.4721360206604,5,4.12310552597046,4.89897966384888,5.1961522102356,8.71779823303223,4.58257579803467,4.12310552597046,4.79583168029785,5.1961522102356,5.47722578048706,4.69041585922241,4,6.63324975967407,5.83095169067383,4.35889911651611,4.35889911651611,8.5440034866333
化工系,5.0990195274353,4.69041585922241,3.31662487983704,6.70820379257202,4.24264049530029,0,5.74456262588501,3,5.0990195274353,5.56776428222656,4.4721360206604,4.79583168029785,4,5.1961522102356,3.60555124282837,3.74165749549866,3.60555124282837,3.87298345565796,5.38516473770142,3.46410155296326,6.48074054718018,7.48331499099731,9,3,5.47722578048706,3.87298345565796,6.70820379257202,3.16227769851685,5.47722578048706,3.46410155296326,7.87400770187378,5.65685415267944,4.89897966384888,3.87298345565796,5.0990195274353,3,3,6.08276271820068,7.87400770187378,6.08276271820068,3.31662487983704,4.4721360206604,4.79583168029785,3.60555124282837,3.74165749549866,5.1961522102356,8.36660003662109,3.60555124282837,3.31662487983704,3.60555124282837,4.35889911651611,4,3.46410155296326,3.16227769851685,5.83095169067383,5.0990195274353,2.64575123786926,3.60555124282837,7.54983425140381
哲學系,6.40312433242798,5.74456262588501,5.0990195274353,8,6.55743837356567,5.74456262588501,0,5.0990195274353,6.70820379257202,6.32455539703369,6.8556547164917,5.65685415267944,6.70820379257202,5.47722578048706,5.65685415267944,6.08276271820068,5.47722578048706,6,5.83095169067383,5.56776428222656,6.8556547164917,7.54983425140381,9.16515159606934,5.0990195274353,6.24499797821045,6,7.34846925735474,5.38516473770142,6.8556547164917,5,10.6301460266113,6.55743837356567,5.91607999801636,5.83095169067383,6.24499797821045,5.0990195274353,5.29150247573853,8.12403869628906,9,7.34846925735474,5.65685415267944,5.56776428222656,6.63324975967407,5.65685415267944,5,6,8.5440034866333,5.83095169067383,5.65685415267944,5.65685415267944,6.1644139289856,5.74456262588501,4.79583168029785,5.56776428222656,6.55743837356567,6.55743837356567,5.29150247573853,5.47722578048706,8.71779823303223
國企系,4.58257579803467,3.87298345565796,2.44948983192444,6.63324975967407,4.35889911651611,3,5.0990195274353,0,4.58257579803467,5.0990195274353,5,4,4.79583168029785,4.69041585922241,3.16227769851685,3.87298345565796,2.44948983192444,3.46410155296326,5.0990195274353,2.64575123786926,5.91607999801636,7.14142847061157,8.71779823303223,2,4.79583168029785,3.46410155296326,6.32455539703369,2.64575123786926,5.38516473770142,2.64575123786926,9.43398094177246,5.38516473770142,4.35889911651611,3.16227769851685,4.58257579803467,2,2,6.48074054718018,7.68114566802979,5.65685415267944,3.16227769851685,4.12310552597046,4.69041585922241,3.46410155296326,3,4.4721360206604,8.18535232543945,3.16227769851685,2.82842707633972,2.82842707633972,4.24264049530029,3.87298345565796,2.64575123786926,2.64575123786926,5,4.58257579803467,2,2.82842707633972,7.61577320098877
園藝系,6.1644139289856,5.47722578048706,4.79583168029785,5,5.47722578048706,5.0990195274353,6.70820379257202,4.58257579803467,0,6.55743837356567,6.32455539703369,5.74456262588501,6.1644139289856,6.24499797821045,5,5.29150247573853,4.79583168029785,5.38516473770142,6.55743837356567,4.89897966384888,7.34846925735474,8.24621105194092,9.64365100860596,4.35889911651611,6.48074054718018,4.58257579803467,7.54983425140381,4.69041585922241,6.48074054718018,4.89897966384888,10.1980390548706,6.92820310592651,5.65685415267944,4.35889911651611,6.1644139289856,4.58257579803467,4.58257579803467,7,7.21110248565674,6.8556547164917,5.1961522102356,4.69041585922241,5.74456262588501,5.1961522102356,5.0990195274353,6.24499797821045,9.05538558959961,4.79583168029785,5,5,5.91607999801636,5.47722578048706,4.89897966384888,4.89897966384888,6.63324975967407,4,4.58257579803467,4.79583168029785,7.93725395202637
圖資系,5.1961522102356,5.38516473770142,5.29150247573853,8.12403869628906,6.40312433242798,5.56776428222656,6.32455539703369,5.0990195274353,6.55743837356567,0,7,6,6.70820379257202,6.48074054718018,5.65685415267944,6.08276271820068,5.29150247573853,5.83095169067383,6.78233003616333,4.35889911651611,6.8556547164917,8.3066234588623,8.36660003662109,5.0990195274353,6.24499797821045,5.65685415267944,6.63324975967407,5.1961522102356,7.14142847061157,5.1961522102356,10.4403066635132,6.08276271820068,6.24499797821045,5.65685415267944,5.74456262588501,5.0990195274353,5.0990195274353,8,9,4.69041585922241,5.65685415267944,6.24499797821045,6.63324975967407,5.83095169067383,5.38516473770142,5.83095169067383,8.42614936828613,5.65685415267944,5.47722578048706,5.47722578048706,6.32455539703369,6.24499797821045,4.35889911651611,5.38516473770142,4.79583168029785,6.08276271820068,5.0990195274353,5.47722578048706,8.9442720413208
