Id,groups_transfer,groups_104,college,transfer_eigenCentrality,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd,transfer_pageranks,transfer_clustering_coefficient,transfer_indegree,transfer_outdegree,transfer_degree,ntuApplic_pageranks,ntuApplic_degree,ntuApplic_eigenCentrality,ntuApplic_clustering_coefficient,isArts,dropRate1061,ntuApplic_arts_pageranks,ntuApplic_nonArts_pageranks
材料科學與工程學系,2,3,工學院,0.060387,25.905596,25.090285,24.619424,20.433478,0.006747,0,1,4,5,0.022268,11,0.559906,0.727273,FALSE,4.761904761904762,0,0.032183
電機工程學系,10,10,電資學院,0.684107,19.805734,19.462495,24.131136,14.905112,0.072321,0.227273,12,0,12,0.041879,15,0.657022,0.542857,FALSE,3.9751552795031055,0,0.060583
牙醫學系,2,2,醫學院,0.016378,0,0,0,0,0.006171,0,1,1,2,0.003677,2,0.079487,0,FALSE,2.843601895734597,0,0.005216
哲學系,1,2,文學院,0.396159,19.290372,20.582155,19.684108,20.925604,0.023731,0.190476,7,10,17,0.011647,5,0.032891,0.4,TRUE,4.301075268817204,0.047579,0
資訊管理學系,2,8,管理學院,0.122414,24.39983,17.25287,19.064134,16.871273,0.008469,0.2,3,2,5,0.021142,13,0.679846,0.679487,FALSE,4.30622009569378,0,0.027447
財務金融學系,6,9,管理學院,0.4386,16.221032,17.048822,15.499017,13.768379,0.023506,0.088889,8,2,10,0.035079,20,0.786181,0.426316,FALSE,4.428044280442805,0,0.03658
化學工程學系,4,6,工學院,0.307984,17.6575,19.279981,19.704176,18.271105,0.02015,0.47619,4,3,7,0.04134,25,1,0.366667,FALSE,5.708245243128964,0,0.060046
資訊工程學系,4,6,電資學院,0.47341,13.100855,18.180595,18.451411,13.005558,0.027097,0.194444,4,5,9,0.044293,22,0.947763,0.450216,FALSE,3.612167300380228,0,0.063083
大氣科學系,2,4,理學院,0.237724,19.273763,19.659219,19.539685,22.167038,0.00946,0.107143,4,4,8,0.012052,13,0.587275,0.564103,FALSE,3.067484662576687,0,0.016703
工程科學及海洋工程學系,4,4,工學院,0.357986,20.451244,20.4714,23.800773,19.549563,0.015446,0.311111,7,3,10,0.014526,11,0.558241,0.763636,FALSE,2.6315789473684212,0,0.02054
園藝暨景觀學系,3,7,生農學院,0.216809,23.746713,20.102365,22.298491,23.002165,0.01312,0.142857,5,3,8,0.024038,16,0.46667,0.35,FALSE,6.4935064935064934,0,0.035401
職能治療學系,2,2,醫學院,0.345291,24.433178,34.190882,25.603032,26.607731,0.01953,0.3,5,0,5,0.016929,11,0.349731,0.418182,FALSE,7.6923076923076925,0,0.024737
地理環境資源學系,4,2,理學院,0.200979,20.760037,24.65151,21.370322,22.090473,0.007422,0.111111,2,8,10,0.007533,7,0.276845,0.333333,FALSE,4.878048780487805,0,0.009974
工商管理學系企業管理組,2,5,管理學院,0.171177,19.47985,19.865371,16.861809,16.942803,0.009735,0.133333,4,2,6,0.025567,13,0.537702,0.641026,FALSE,2.3166023166023164,0,0.024496
機械工程學系,9,6,工學院,0.270808,18.440482,18.666867,20.357518,15.032217,0.017457,0.272727,5,8,13,0.044987,22,0.963955,0.458874,FALSE,3.6923076923076925,0,0.064353
農業化學系,2,2,生農學院,0.084471,18.291845,20.146464,18.47746,17.532451,0.005816,0.2,2,3,5,0.011767,9,0.320552,0.555556,FALSE,9.523809523809524,0,0.016929
心理學系,1,2,理學院,0.693011,17.941233,20.705374,16.698195,15.92984,0.031246,0.2,11,4,15,0.009228,11,0.544144,0.6,FALSE,9.655172413793103,0,0.01239
醫學檢驗暨生物技術學系,2,2,醫學院,0.118787,26.84174,20.835678,22.978714,14.586649,0.00932,0.133333,5,1,6,0.007594,5,0.166269,0.6,FALSE,11.2,0,0.010904
政治學系政治理論組,7,1,社科學院,0.394703,18.713994,18.746462,15.612967,16.985166,0.014251,0.254545,6,7,13,0.013734,7,0.098986,0.666667,TRUE,2.1186440677966103,0.06314,0
地質科學系,4,4,理學院,0.078961,20.235176,24.520784,21.006814,20.135763,0.006897,0.388889,2,8,10,0.01509,11,0.504983,0.654545,FALSE,4.191616766467066,0,0.021816
生物環境系統工程學系,4,4,生農學院,0.038722,20.25622,22.770535,22.836995,22.065103,0.006555,0.3,3,2,5,0.01554,13,0.545344,0.589744,FALSE,5.472636815920398,0,0.022465
生物產業機電工程學系,4,2,生農學院,0.149796,18.968445,21.43305,17.91002,16.304252,0.013563,0.222222,5,4,9,0.010123,11,0.544373,0.6,FALSE,3.314917127071823,0,0.014071
土木工程學系,4,4,工學院,0.247535,19.059727,18.372444,18.427796,17.140572,0.015913,0.294872,7,7,14,0.02916,21,0.863949,0.4,FALSE,4.831932773109243,0,0.040672
物理學系,10,3,理學院,0.33905,22.295557,22.171114,25.360784,15.342597,0.022039,0.355556,7,3,10,0.017754,10,0.489248,0.755556,FALSE,4.676258992805756,0,0.025723
動物科學技術學系,3,2,生農學院,0.03472,24.571668,19.960488,22.968849,22.094359,0.005185,0.238095,1,6,7,0.007005,5,0.171167,0.7,FALSE,7.2727272727272725,0,0.010053
