Id,groups_transfer,groups_104,college,job_1st-2nd,job_2nd-3rd,industr_1st-2nd,industr_2nd-3rd,transfer_pageranks,indegree,outdegree,Degree,pageranks
"材料科學與工程學系",2,3,工學院,25.905596,25.090285,24.619424,20.433478,0.006747,1,3,4,0.012949
"電機工程學系",10,10,電資學院,19.805734,19.462495,24.131136,14.905112,0.072321,12,0,12,0.144756
"牙醫學系",2,2,醫學院,0,0,0,0,0.006171,1,1,2,0.013384
"資訊管理學系",2,8,管理學院,24.39983,17.25287,19.064134,16.871273,0.008469,1,2,3,0.013384
"財務金融學系",6,9,管理學院,16.221032,17.048822,15.499017,13.768379,0.023506,5,2,7,0.030255
"化學工程學系",4,6,工學院,17.6575,19.279981,19.704176,18.271105,0.02015,4,3,7,0.032585
"資訊工程學系",4,6,電資學院,13.100855,18.180595,18.451411,13.005558,0.027097,3,3,6,0.038263
"大氣科學系",2,4,理學院,19.273763,19.659219,19.539685,22.167038,0.00946,4,4,8,0.015219
"工程科學及海洋工程學系",4,4,工學院,20.451244,20.4714,23.800773,19.549563,0.015446,6,3,9,0.026778
"園藝暨景觀學系",3,7,生農學院,23.746713,20.102365,22.298491,23.002165,0.01312,5,3,8,0.024499
"職能治療學系",2,2,醫學院,24.433178,34.190882,25.603032,26.607731,0.01953,5,0,5,0.03297
"地理環境資源學系",4,2,理學院,20.760037,24.65151,21.370322,22.090473,0.007422,1,7,8,0.011387
"工商管理學系企業管理組",2,5,管理學院,19.47985,19.865371,16.861809,16.942803,0.009735,3,2,5,0.020346
"機械工程學系",9,6,工學院,18.440482,18.666867,20.357518,15.032217,0.017457,5,7,12,0.033452
"農業化學系",2,2,生農學院,18.291845,20.146464,18.47746,17.532451,0.005816,2,2,4,0.011695
"心理學系",1,2,理學院,17.941233,20.705374,16.698195,15.92984,0.031246,7,2,9,0.028115
"醫學檢驗暨生物技術學系",2,2,醫學院,26.84174,20.835678,22.978714,14.586649,0.00932,5,1,6,0.018734
"地質科學系",4,4,理學院,20.235176,24.520784,21.006814,20.135763,0.006897,1,8,9,0.013272
"生物環境系統工程學系",4,4,生農學院,20.25622,22.770535,22.836995,22.065103,0.006555,3,2,5,0.013204
"生物產業機電工程學系",4,2,生農學院,18.968445,21.43305,17.91002,16.304252,0.013563,5,4,9,0.025265
"土木工程學系",4,4,工學院,19.059727,18.372444,18.427796,17.140572,0.015913,6,6,12,0.029296
"物理學系",10,3,理學院,22.295557,22.171114,25.360784,15.342597,0.022039,7,1,8,0.048954
"動物科學技術學系",3,2,生農學院,24.571668,19.960488,22.968849,22.094359,0.005185,1,6,7,0.010485
"獸醫學系",3,2,生農學院,14.859414,41.327492,32.234752,22.717301,0.042811,3,2,5,0.033904
"藥學系",2,2,醫學院,20.449633,22.938319,24.564727,24.318821,0.021137,6,0,6,0.039904
"生物產業傳播暨發展學系",5,2,生農學院,19.351894,24.530172,18.829992,20.519518,0.029936,1,4,5,0.011992
"工商管理學系科技管理組",2,8,管理學院,19.47985,19.865371,16.861809,16.942803,0.00904,2,2,4,0.014582
"公共衛生學系",2,2,公衛學院,23.304127,22.617304,15.105847,17.711976,0.005207,0,3,3,0.009714
"物理治療學系",2,2,醫學院,20.866253,24.706983,19.475115,26.204522,0.007097,2,0,2,0.014121
"國際企業學系",2,5,管理學院,17.426241,20.290533,16.346735,14.390851,0.004737,0,1,1,0.009714
"護理學系",2,2,醫學院,45.122534,18.002254,49.174067,21.524859,0.005207,0,5,5,0.009714
"生化科技學系",2,2,生命科學院,16.231326,31.330292,18.192459,25.656955,0.014072,7,0,7,0.029741
"化學系",2,4,理學院,22.206317,21.666822,19.473544,16.167138,0.01464,5,2,7,0.029061
"會計學系",5,9,管理學院,51.50677,26.579231,43.670767,22.755226,0.035381,3,0,3,0.022589
"數學系",2,2,理學院,25.090611,25.040893,24.866464,21.230937,0.0094,2,0,2,0.019521
"昆蟲學系",2,2,生農學院,22.116899,23.280374,25.064723,25.426135,0.004737,0,3,3,0.009714
"農業經濟學系",5,2,生農學院,19.42543,22.717757,19.685126,18.673313,0.007918,1,5,6,0.012264
"農藝學系",3,7,生農學院,18.252315,22.968914,21.709802,21.282765,0.024603,1,7,8,0.024126
"森林環境暨資源學系",4,7,生農學院,17.355495,19.71399,16.913347,18.062607,0.010018,1,14,15,0.015404
"生命科學系",2,2,生命科學院,19.171869,21.419254,20.438711,19.661642,0.006966,1,5,6,0.013879
"醫學系",2,2,醫學院,16.710137,8.86656,24.84995,23.449307,0.009982,1,1,2,0.021094
"植物病理與微生物學系",2,2,生農學院,25.521423,21.675397,23.585945,21.844902,0.004737,0,3,3,0.009714
