Id,inSchool
中國文學系,268
中國文學系國際學生學士班,68
外國語文學系,544
歷史學系,264
哲學系,186
人類學系,158
圖書資訊學系,210
日本語文學系,266
戲劇學系,189
數學系,222
物理學系,278
化學系,290
地質科學系,167
心理學系,290
地理環境資源學系,164
大氣科學系,163
政治學系政治理論組,236
政治學系國際關係組,291
政治學系公共行政組,225
經濟學系,590
社會學系,204
社會工作學系,211
醫學系,1001
牙醫學系,211
藥學系,198
醫學檢驗暨生物技術學系,125
護理學系,152
物理治療學系,133
職能治療學系,156
土木工程學系,476
機械工程學系,650
化學工程學系,473
工程科學及海洋工程學系,190
材料科學與工程學系,210
農藝學系,162
生物環境系統工程學系,201
農業化學系,168
森林環境暨資源學系,274
動物科學技術學系,110
農業經濟學系,179
園藝暨景觀學系,231
獸醫學系,335
生物產業傳播暨發展學系,254
生物產業機電工程學系,181
昆蟲學系,94
植物病理與微生物學系,127
工商管理學系企業管理組,259
工商管理學系科技管理組,149
會計學系,515
財務金融學系,542
國際企業學系,381
資訊管理學系,209
公共衛生學院,164
公共衛生學系,164
電機工程學系,805
資訊工程學系,526
法律學系法學組,256
法律學系司法組,269
法律學系財經法學組,273
生命科學系,186
生化科技學系,178
