Id,drop
中國文學系,16
中國文學系國際學生學士班,6
外國語文學系,22
歷史學系,15
哲學系,8
人類學系,6
圖書資訊學系,3
日本語文學系,6
戲劇學系,13
數學系,8
物理學系,13
化學系,13
地質科學系,7
心理學系,28
地理環境資源學系,8
大氣科學系,5
政治學系政治理論組,5
政治學系國際關係組,17
政治學系公共行政組,8
經濟學系,24
社會學系,10
社會工作學系,7
醫學系,12
牙醫學系,6
藥學系,16
醫學檢驗暨生物技術學系,14
護理學系,15
物理治療學系,14
職能治療學系,12
土木工程學系,23
機械工程學系,24
化學工程學系,27
工程科學及海洋工程學系,5
材料科學與工程學系,10
農藝學系,2
生物環境系統工程學系,11
農業化學系,16
森林環境暨資源學系,19
動物科學技術學系,8
農業經濟學系,16
園藝暨景觀學系,15
獸醫學系,27
生物產業傳播暨發展學系,4
生物產業機電工程學系,6
昆蟲學系,19
植物病理與微生物學系,8
工商管理學系企業管理組,6
工商管理學系科技管理組,12
會計學系,14
財務金融學系,24
國際企業學系,17
資訊管理學系,9
公共衛生學系,9
電機工程學系,32
資訊工程學系,19
法律學系法學組,8
法律學系司法組,7
法律學系財經法學組,9
生命科學系,31
生化科技學系,15
