dept_code,dept,college
100,文學院,文學院
101,中國文學系,文學院
102,外國語文學系,文學院
103,歷史學系,文學院
104,哲學系,文學院
105,人類學系,文學院
106,圖書資訊學系,文學院
107,日本語文學系,文學院
108,應用英語學系,文學院
109,戲劇學系,文學院
121,中國文學研究所,文學院
122,外國語文學研究所,文學院
123,歷史學研究所,文學院
124,哲學研究所,文學院
125,人類學研究所,文學院
126,圖書資訊學研究所,文學院
127,日本語文學研究所,文學院
129,戲劇學研究所,文學院
141,藝術史研究所,文學院
142,語言學研究所,文學院
144,音樂學研究所,文學院
145,臺灣文學研究所,文學院
146,華語教學碩士學位學程,文學院
147,翻譯碩士學位學程,文學院
200,理學院,理學院
201,數學系,理學院
202,物理學系,理學院
203,化學系,理學院
204,地質科學系,理學院
205,動物學系,理學院
206,植物學系,理學院
207,心理學系,理學院
208,地理環境資源學系,理學院
209,大氣科學系,理學院
221,數學研究所,理學院
222,物理學研究所,理學院
223,化學研究所,理學院
224,地質科學研究所,理學院
225,動物學研究所,理學院
226,植物學研究所,理學院
227,心理學研究所,理學院
228,地理環境資源學研究所,理學院
229,大氣科學研究所,理學院
241,海洋研究所,理學院
244,天文物理研究所,理學院
245,應用物理學研究所,理學院
246,應用數學科學研究所,理學院
247,氣候變遷與永續發展國際學位學程,理學院
300,社會科學院,社科學院
302,政治學系,社科學院
303,經濟學系,社科學院
305,社會學系,社科學院
310,社會工作學系,社科學院
322,政治學研究所,社科學院
323,經濟學研究所,社科學院
325,社會學研究所,社科學院
330,社會工作學研究所,社科學院
341,國家發展研究所,社科學院
342,新聞研究所,社科學院
343,公共事務研究所,社科學院
400,醫學院,醫學院
401,醫學系,醫學院
402,牙醫學系,醫學院
403,藥學系,醫學院
404,醫學檢驗暨生物技術學系,醫學院
406,護理學系,醫學院
408,物理治療學系,醫學院
409,職能治療學系,醫學院
412,學士後護理學系,醫學院
420,醫學院暨公共衛生學院共同課程,醫學院
421,臨床醫學研究所,醫學院
422,臨床牙醫學研究所,醫學院
423,藥學研究所,醫學院
